DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT32,2021,29508.13,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT32,2022,33330.74,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2013,28939.63,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2014,29853.47,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2015,31193.44,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2016,32355.39,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2017,33386.62,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2018,34825.71,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2019,36095.54,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2020,33742.04,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2021,34325.89,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT33,2022,39328.6,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2013,15116.8,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2014,15860.95,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2015,17040.9,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2016,17060.08,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2017,17964.82,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2018,19306.96,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2019,18899.89,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2020,18313.38,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2021,20562.44,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,AT34,2022,23588.68,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2013,124.57,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2014,124.41,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2015,131.19,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2016,130.06,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2017,130.07,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2018,136.53,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2019,138.76,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2020,142.62,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2021,138.64,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,ATZZ,2022,146.15,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2013,74151.48,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2014,76049.18,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2015,78882.48,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2016,80091.73,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2017,82258.01,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2018,84237.94,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2019,87454.96,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2020,83651.67,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2021,90084.93,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE10,2022,96512.62,p,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2013,74055.77,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2014,76055.11,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2015,79430.67,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2016,82295.28,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2017,85077.73,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2018,87852.28,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2019,91705.01,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2020,89778.66,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2021,98779,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE21,2022,107412.56,p,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2013,24594.03,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2014,25494.5,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2015,25873.33,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2016,26781.5,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2017,27865.47,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2018,28728.56,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2019,29540.63,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2020,28556.45,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2021,31756.43,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE22,2022,34530.11,p,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2013,46833.25,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2014,47924.08,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2015,50176.97,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2016,52027.03,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2017,54304.33,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2018,55670.76,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2019,57692.55,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2020,55881.55,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2021,63411.61,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE23,2022,69092.1,p,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2013,41839.53,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2014,42756.87,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2015,44518.88,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2016,46550.41,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2017,48158.68,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2018,50024.55,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2019,52010.44,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2020,48775.74,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2021,55670.79,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE24,2022,63622.74,p,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2013,39815.51,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2014,41049.89,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2015,42128.19,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2016,43736.16,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2017,45241.89,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2018,46597.39,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2019,48494.07,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2020,46939.2,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2021,52313.89,,
