DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2016,283257,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2017,284617,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2018,285010,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2019,286685,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2020,289606,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2021,291730,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2022,294400,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2023,297654,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2014,486230,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2015,488876,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2016,492074,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2017,494127,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2018,495158,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2019,496891,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2020,499433,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2021,500489,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2022,503408,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE35,2023,506650,,
